nohup: ignoring input
ROUGE Score: 0.625000
***** Case No.190 *****
BLEU Score: 0.390466
METEOR Score: 0.811173
ROUGE Score: 0.230769
***** Case No.191 *****
BLEU Score: 0.602629
METEOR Score: 0.893612
ROUGE Score: 0.600000
***** Case No.192 *****
BLEU Score: 0.164960
METEOR Score: 0.876004
ROUGE Score: 0.235294
***** Case No.193 *****
BLEU Score: 0.258231
METEOR Score: 0.934261
ROUGE Score: 0.444444
***** Case No.194 *****
BLEU Score: 0.307026
METEOR Score: 0.752370
ROUGE Score: 0.378378
***** Case No.195 *****
BLEU Score: 0.026662
METEOR Score: 0.455102
ROUGE Score: 0.000000
***** Case No.196 *****
BLEU Score: 1.000000
METEOR Score: 0.999500
ROUGE Score: 1.000000
***** Case No.197 *****
BLEU Score: 0.244678
METEOR Score: 0.550000
ROUGE Score: 0.250000
***** Case No.198 *****
BLEU Score: 0.728596
METEOR Score: 0.870895
ROUGE Score: 0.782609
***** Case No.199 *****
BLEU Score: 0.393695
METEOR Score: 0.569143
ROUGE Score: 0.521739
***** Case No.200 *****
BLEU Score: 0.855947
METEOR Score: 0.872285
ROUGE Score: 0.869565
***** Case No.201 *****
BLEU Score: 0.090311
METEOR Score: 0.661292
ROUGE Score: 0.200000
***** Case No.202 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.203 *****
BLEU Score: 0.165039
METEOR Score: 0.561377
ROUGE Score: 0.166667
***** Case No.204 *****
BLEU Score: 0.833872
METEOR Score: 0.892982
ROUGE Score: 0.888889
***** Case No.205 *****
BLEU Score: 0.878289
METEOR Score: 0.920156
ROUGE Score: 0.923077
***** Case No.206 *****
BLEU Score: 0.633597
METEOR Score: 0.962027
ROUGE Score: 0.650000
***** Case No.207 *****
BLEU Score: 0.530362
METEOR Score: 0.916320
ROUGE Score: 0.571429
***** Case No.208 *****
BLEU Score: 0.749085
METEOR Score: 0.960338
ROUGE Score: 0.594595
***** Case No.209 *****
BLEU Score: 0.301304
METEOR Score: 0.694270
ROUGE Score: 0.333333
***** Case No.210 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.211 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.212 *****
BLEU Score: 0.460490
METEOR Score: 0.586467
ROUGE Score: 0.518519
***** Case No.213 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 0.896552
***** Case No.214 *****
BLEU Score: 0.828248
METEOR Score: 0.940257
ROUGE Score: 0.740741
***** Case No.215 *****
BLEU Score: 0.605478
METEOR Score: 0.818701
ROUGE Score: 0.562500
***** Case No.216 *****
BLEU Score: 0.839433
METEOR Score: 0.943676
ROUGE Score: 0.827586
***** Case No.217 *****
BLEU Score: 0.828026
METEOR Score: 0.957027
ROUGE Score: 0.851064
***** Case No.218 *****
BLEU Score: 0.594301
METEOR Score: 0.811984
ROUGE Score: 0.647059
***** Case No.219 *****
BLEU Score: 1.000000
METEOR Score: 0.999946
ROUGE Score: 1.000000
***** Case No.220 *****
BLEU Score: 0.886248
METEOR Score: 0.962027
ROUGE Score: 0.926829
***** Case No.221 *****
BLEU Score: 0.834756
METEOR Score: 0.958673
ROUGE Score: 0.851064
***** Case No.222 *****
BLEU Score: 0.393695
METEOR Score: 0.622196
ROUGE Score: 0.363636
***** Case No.223 *****
BLEU Score: 0.474180
METEOR Score: 0.667017
ROUGE Score: 0.400000
***** Case No.224 *****
BLEU Score: 0.469247
METEOR Score: 0.736111
ROUGE Score: 0.375000
***** Case No.225 *****
BLEU Score: 0.602882
METEOR Score: 0.830000
ROUGE Score: 0.692308
***** Case No.226 *****
BLEU Score: 0.605803
METEOR Score: 0.781257
ROUGE Score: 0.685714
***** Case No.227 *****
BLEU Score: 0.645565
METEOR Score: 0.831937
ROUGE Score: 0.666667
***** Case No.228 *****
BLEU Score: 0.741709
METEOR Score: 0.882140
ROUGE Score: 0.777778
***** Case No.229 *****
BLEU Score: 0.875173
METEOR Score: 0.892725
ROUGE Score: 0.916667
***** Case No.230 *****
BLEU Score: 0.866398
METEOR Score: 0.976059
ROUGE Score: 0.909091
***** Case No.231 *****
BLEU Score: 0.650339
METEOR Score: 0.916038
ROUGE Score: 0.709677
***** Case No.232 *****
BLEU Score: 0.502781
METEOR Score: 0.708711
ROUGE Score: 0.555556
***** Case No.233 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 1.000000
***** Case No.234 *****
BLEU Score: 0.806501
METEOR Score: 0.873724
ROUGE Score: 0.750000
***** Case No.235 *****
BLEU Score: 0.750102
METEOR Score: 0.890909
ROUGE Score: 0.774194
***** Case No.236 *****
BLEU Score: 0.519426
METEOR Score: 0.760007
ROUGE Score: 0.551724
***** Case No.237 *****
BLEU Score: 0.563519
METEOR Score: 0.819478
ROUGE Score: 0.620690
***** Case No.238 *****
BLEU Score: 0.480752
METEOR Score: 0.656703
ROUGE Score: 0.538462
***** Case No.239 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.240 *****
BLEU Score: 0.544518
METEOR Score: 0.842012
ROUGE Score: 0.545455
***** Case No.241 *****
BLEU Score: 0.327053
METEOR Score: 0.813587
ROUGE Score: 0.470588
***** Case No.242 *****
BLEU Score: 0.269499
METEOR Score: 0.588779
ROUGE Score: 0.304348
***** Case No.243 *****
BLEU Score: 0.241418
METEOR Score: 0.408339
ROUGE Score: 0.363636
***** Case No.244 *****
BLEU Score: 0.241418
METEOR Score: 0.408339
ROUGE Score: 0.363636
***** Case No.245 *****
BLEU Score: 0.192046
METEOR Score: 0.353364
ROUGE Score: 0.300000
***** Case No.246 *****
BLEU Score: 0.686648
METEOR Score: 0.925689
ROUGE Score: 0.723404
***** Case No.247 *****
BLEU Score: 0.635518
METEOR Score: 0.995630
ROUGE Score: 0.700000
***** Case No.248 *****
BLEU Score: 0.177298
METEOR Score: 0.773196
ROUGE Score: 0.277778
***** Case No.249 *****
BLEU Score: 0.783931
METEOR Score: 0.979737
ROUGE Score: 0.816327
***** Case No.250 *****
BLEU Score: 0.786969
METEOR Score: 0.876754
ROUGE Score: 0.842105
***** Case No.251 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 0.888889
***** Case No.252 *****
BLEU Score: 0.816053
METEOR Score: 0.955323
ROUGE Score: 0.857143
***** Case No.253 *****
BLEU Score: 0.376602
METEOR Score: 0.641105
ROUGE Score: 0.375000
***** Case No.254 *****
BLEU Score: 0.684120
METEOR Score: 0.744021
ROUGE Score: 0.689655
***** Case No.255 *****
BLEU Score: 0.084382
METEOR Score: 0.423889
ROUGE Score: 0.275862
***** Case No.256 *****
BLEU Score: 0.850733
METEOR Score: 0.921776
ROUGE Score: 0.857143
***** Case No.257 *****
BLEU Score: 0.581946
METEOR Score: 0.669192
